name,price,n_sold,ram,rom
Samsung Galaxy A12,2699000,49,6,128
Samsung Galaxy S21 Ultra 5G,21999000,3,16,512
Samsung Galaxy Note20 Ultra 5G,18999000,1,12,512
Samsung Galaxy Z Fold3 5G,24999000,74,12,256
Samsung Galaxy Z Flip3 5G,15999000,75,8,256
Samsung Galaxy Z Flip3 5G,14999000,44,8,128
Samsung Galaxy Note20 Ultra 5G,16999000,6,12,256
Samsung Galaxy Tab S7 FE 5G,9499000,15,6,128
Samsung Galaxy Z Flip,14999000,2,8,256
Samsung Galaxy M11,1649000,53,3,32
Samsung Galaxy A32,3799000,66,8,128
Samsung Galaxy M62,5999000,53,8,256
Samsung Galaxy Tab S7,12999000,2,6,128
Samsung Galaxy A72,5999000,19,8,128
Samsung Galaxy S21 5G,13999000,4,8,256
Samsung Galaxy S21 Ultra 5G,19999000,7,12,256
Samsung Galaxy A32,3599000,54,6,128
Samsung Galaxy Z Flip3 5G,15999000,14,8,256
Samsung Galaxy Z Flip3 5G,14999000,11,8,128
Samsung Galaxy Z Fold3 5G,24999000,1,12,256
Samsung Galaxy A12,2399000,41,4,128
Samsung Galaxy Z Fold3 5G,24999000,6,12,256
Samsung Galaxy Z Flip3 5G,15999000,14,8,256
Samsung Galaxy Z Flip3 5G,14999000,9,8,128
Samsung Galaxy Z Fold3 5G,26999000,43,12,512
Samsung Galaxy A10s,1399000,27,2,32
Samsung Galaxy A01 Core,1149000,0,2,32
Samsung Galaxy A51,4099000,33,6,128
Samsung Galaxy A51,4399000,29,8,128
Samsung Galaxy S21 Ultra 5G,18999000,1,12,128
Samsung Galaxy A21s,2899000,152,6,128
Samsung Galaxy A22 5G,3299000,29,6,128
Samsung Galaxy Tab S6 Lite,6299000,7,4,128
Samsung Galaxy Tab A7 LTE,4499000,18,3,32
Samsung Galaxy A02s,1899000,14,4,64
Samsung Galaxy A02s,1699000,2,3,32
Samsung Galaxy M02,1199000,121,2,32
Samsung Galaxy A22,2999000,94,6,128
Samsung Galaxy Tab S7+,16999000,1,8,256
Samsung Galaxy Tab A7 Lite,2499000,14,3,32
Samsung Galaxy A72,6399000,10,8,256
Samsung Galaxy S21+ 5G,16999000,2,8,256
Samsung Galaxy S21+ 5G,15999000,5,8,128
Samsung Galaxy S21 5G,12999000,1,8,128
Samsung Galaxy S20 FE,7999000,18,8,256
Samsung Galaxy M12,1999000,107,4,64
Samsung Galaxy M12,1799000,124,3,32
Samsung Galaxy A32 5G,3999001,94,8,128
Samsung Galaxy A52,4999000,24,8,128
Samsung Galaxy A52,5399000,23,8,256
